,Year,Month,Min_Temp,Max_Temp,Precipitation,Malaria_Cases
0,2003,1,14.3,25.6,1,18.0
1,2003,2,18.8,29.6,23,21.0
2,2003,3,22.0,32.6,34,18.0
3,2003,4,25.8,35.9,4,13.0
4,2003,5,27.200000000000003,36.6,25,11.0
5,2003,6,26.400000000000002,34.4,326,7.0
6,2003,7,25.8,31.6,335,6.0
7,2003,8,26.0,31.8,430,19.0
8,2003,9,25.5,31.700000000000003,272,12.0
9,2003,10,22.900000000000002,30.6,543,13.0
10,2003,11,18.1,28.200000000000003,21,20.0
11,2003,12,15.200000000000001,25.8,25,9.0
12,2004,1,14.8,26.200000000000003,7,8.0
13,2004,2,18.1,28.900000000000002,4,5.0
14,2004,3,22.700000000000003,33.300000000000004,2,13.0
15,2004,4,24.900000000000002,35.1,72,11.0
16,2004,5,26.8,36.2,49,5.0
17,2004,6,26.6,34.6,148,5.0
18,2004,7,25.6,31.5,203,7.0
19,2004,8,25.8,31.5,304,12.0
20,2004,9,25.700000000000003,32.0,232,25.0
21,2004,10,22.700000000000003,30.400000000000002,278,14.0
22,2004,11,18.3,28.400000000000002,0,15.0
23,2004,12,15.600000000000001,27.400000000000002,0,17.0
24,2005,1,16.1,27.5,14,15.0
25,2005,2,19.8,30.6,0,15.0
26,2005,3,22.900000000000002,33.5,49,26.0
27,2005,4,25.1,35.2,31,25.0
28,2005,5,26.400000000000002,35.800000000000004,89,17.0
29,2005,6,27.5,35.4,166,14.0
30,2005,7,25.8,31.6,300,9.0
31,2005,8,26.200000000000003,31.900000000000002,311,33.0
32,2005,9,25.3,32.2,554,46.0
33,2005,10,22.700000000000003,30.400000000000002,316,48.0
34,2005,11,17.400000000000002,27.5,0,43.0
35,2005,12,14.3,26.1,0,31.0
36,2006,1,15.4,26.8,0,17.0
37,2006,2,19.6,30.5,0,27.0
38,2006,3,22.3,32.9,19,31.0
39,2006,4,24.900000000000002,35.1,21,21.0
40,2006,5,25.900000000000002,35.300000000000004,109,14.0
41,2006,6,25.8,33.800000000000004,261,40.0
42,2006,7,26.200000000000003,32.0,413,69.0
43,2006,8,25.400000000000002,31.1,705,77.0
44,2006,9,25.6,31.900000000000002,378,40.0
45,2006,10,23.6,31.400000000000002,118,47.0
46,2006,11,18.8,28.900000000000002,16,44.0
47,2006,12,15.9,27.8,0,39.0
48,2007,1,15.600000000000001,27.0,0,36.0
49,2007,2,18.3,29.200000000000003,80,7.0
50,2007,3,22.0,32.7,1,16.0
51,2007,4,24.900000000000002,35.1,32,23.0
52,2007,5,26.3,35.7,86,16.0
53,2007,6,25.900000000000002,33.9,189,43.0
54,2007,7,26.0,31.8,249,45.0
55,2007,8,26.200000000000003,31.900000000000002,457,76.0
56,2007,9,25.1,31.3,544,28.0
57,2007,10,22.8,30.6,107,65.0
58,2007,11,18.5,28.6,31,66.0
59,2007,12,15.0,26.900000000000002,0,28.0
60,2008,1,15.4,26.700000000000003,35,11.0
61,2008,2,17.1,27.900000000000002,44,14.0
62,2008,3,22.200000000000003,32.800000000000004,6,12.0
63,2008,4,24.700000000000003,34.800000000000004,42,15.0
64,2008,5,26.200000000000003,35.6,132,22.0
65,2008,6,24.700000000000003,32.6,447,25.0
66,2008,7,25.400000000000002,31.3,246,63.0
67,2008,8,25.8,31.5,389,81.0
68,2008,9,25.200000000000003,31.5,538,104.0
69,2008,10,23.3,31.0,51,78.0
70,2008,11,18.7,28.8,7,72.0
71,2008,12,16.400000000000002,28.200000000000003,0,46.0
72,2009,1,17.0,28.400000000000002,0,34.0
73,2009,2,20.200000000000003,31.1,0,18.0
74,2009,3,22.900000000000002,33.5,2,18.0
75,2009,4,25.700000000000003,35.9,0,11.0
76,2009,5,26.0,35.4,106,15.0
77,2009,6,27.400000000000002,35.300000000000004,99,8.0
78,2009,7,25.5,31.3,463,24.0
79,2009,8,26.200000000000003,31.900000000000002,393,34.0
80,2009,9,25.8,32.1,229,35.0
81,2009,10,22.6,30.3,141,40.0
82,2009,11,18.900000000000002,29.0,48,33.0
83,2009,12,15.600000000000001,27.400000000000002,0,38.0
84,2010,1,14.8,26.200000000000003,5,16.0
85,2010,2,19.200000000000003,30.1,1,11.0
86,2010,3,23.6,34.2,4,16.0
87,2010,4,26.3,36.5,1,10.0
88,2010,5,26.3,35.7,242,12.0
89,2010,6,26.5,34.5,248,21.0
90,2010,7,26.1,32.0,272,33.0
91,2010,8,26.5,32.2,323,32.0
92,2010,9,25.900000000000002,32.1,327,22.0
93,2010,10,23.200000000000003,31.0,211,23.0
94,2010,11,19.700000000000003,29.8,70,20.0
95,2010,12,14.4,26.200000000000003,43,18.0
96,2011,1,14.700000000000001,26.1,0,10.0
97,2011,2,18.400000000000002,29.3,44,12.0
98,2011,3,22.3,32.9,3,15.0
99,2011,4,24.5,34.6,26,12.0
100,2011,5,26.0,35.300000000000004,163,18.0
101,2011,6,25.5,33.5,252,25.0
102,2011,7,25.900000000000002,31.700000000000003,369,19.0
103,2011,8,25.700000000000003,31.400000000000002,490,19.0
104,2011,9,25.1,31.400000000000002,341,12.0
105,2011,10,23.400000000000002,31.1,33,14.0
106,2011,11,18.7,28.8,0,12.0
107,2011,12,15.0,26.900000000000002,0,8.0
108,2012,1,15.600000000000001,26.900000000000002,37,9.0
109,2012,2,18.6,29.5,1,10.0
110,2012,3,23.1,33.800000000000004,0,11.0
111,2012,4,25.3,35.5,77,7.0
112,2012,5,26.8,36.2,26,8.0
113,2012,6,26.700000000000003,34.7,212,14.0
114,2012,7,25.5,31.400000000000002,455,28.0
115,2012,8,25.900000000000002,31.700000000000003,264,27.0
116,2012,9,25.6,31.8,175,24.0
117,2012,10,22.0,30.700000000000003,82,22.0
118,2012,11,18.1,28.200000000000003,202,17.0
119,2012,12,15.100000000000001,26.900000000000002,2,14.0
120,2013,1,15.3,26.6,2,14.0
121,2013,2,18.1,28.900000000000002,4,17.0
122,2013,3,22.6,33.2,0,12.0
123,2013,4,24.700000000000003,34.6,44,19.0
124,2013,5,26.5,34.5,75,15.0
125,2013,6,25.3,33.7,317,20.0
126,2013,7,25.6,31.700000000000003,305,42.0
127,2013,8,25.6,31.5,186,30.0
128,2013,9,25.6,31.900000000000002,326,30.0
129,2013,10,22.900000000000002,29.400000000000002,350,41.0
130,2013,11,16.8,28.400000000000002,1,23.0
131,2013,12,14.8,25.8,0,11.0
