District,Month,Totsp,No. of RDT Performed,Slides examined,Bse
Angul,January,1005,8398,13445,21843
Balasore,January,0,,8101,8101
Bargarh,January,62,1024,6836,7860
Bhadrak,January,70,1458,7501,8959
Bolangir,January,728,,8927,8927
Boudh,January,116,948,1042,1990
Cuttack,January,58,499,7373,7872
Deogarh,January,525,3603,4891,8494
Dhenkanal,January,0,0,9956,9956
Gajpati,January,749,3535,6989,10524
Ganjam,January,643,13331,22573,35904
J.S PUR,January,10,100,6160,6260
Jajpur,January,204,2247,10477,12724
Jharsuguda,January,30,1231,2018,3249
Kalahandi,January,1639,7005,15832,22837
Kandhamal,January,1789,4439,13776,18215
Kendrapada,January,10,0,9536,9536
Keonjhar,January,1366,8220,19128,27348
Khurda,January,86,2646,7977,10623
Koraput,January,2770,6576,13349,19925
Malkangiri,January,1742,4957,8378,13335
Mayurbhanj,January,396,5414,6468,11882
Nawarangpur,January,1468,2369,9284,11653
Nayagarh,January,145,3194,5291,8485
Nuapada,January,950,4811,6243,11054
Puri,January,3,0,5309,5309
Rayagada,January,2430,8299,11284,19583
Sambalpur,January,706,2332,5961,8293
Sonepur,January,68,,3826,3826
Sundargarh,January,1338,10664,18671,29335
Angul,February,893,7529,13920,21449
Balasore,February,0,,9968,9968
Bargarh,February,69,2775,5935,8710
Bhadrak,February,19,1771,7636,9407
Bolangir,February,363,3657,10031,13688
Boudh,February,132,919,1463,2382
Cuttack,February,77,988,14738,15726
Deogarh,February,315,3951,5690,9641
Dhenkanal,February,365,4748,12416,17164
Gajpati,February,651,3498,6423,9921
Ganjam,February,604,11549,24216,35765
J.S PUR,February,12,269,6751,7020
Jajpur,February,180,2625,10206,12831
Jharsuguda,February,19,1340,2185,3525
Kalahandi,February,1958,8693,19229,27922
Kandhamal,February,2285,6396,16816,23212
Kendrapada,February,13,130,9913,10043
Keonjhar,February,1207,8182,20641,28823
Khurda,February,94,2736,8803,11539
Koraput,February,1597,4398,7069,11467
Malkangiri,February,5961,4737,9798,14535
Mayurbhanj,February,824,17790,22781,40571
Nawarangpur,February,1156,3567,10140,13707
Nayagarh,February,164,3290,5770,9060
Nuapada,February,819,5052,7099,12151
Puri,February,1,0,5876,5876
Rayagada,February,2550,8964,11858,20822
Sambalpur,February,610,3283,8313,11596
Sonepur,February,76,,4712,4712
Sundargarh,February,983,12023,21753,33776
Angul,March,224,618,2161,2779
Balasore,March,74,0,9765,9765
Bargarh,March,60,4055,8952,13007
Bhadrak,March,39,2910,6505,9415
Bolangir,March,392,1728,11337,13065
Boudh,March,127,1035,1480,2515
Cuttack,March,69,1877,15042,16919
Deogarh,March,273,2842,4827,7669
Dhenkanal,March,391,3607,11455,15062
Gajpati,March,793,3900,6829,10729
Ganjam,March,775,14122,25755,39877
J.S PUR,March,15,536,7586,8122
Jajpur,March,194,2438,9632,12070
Jharsuguda,March,28,1758,2596,4354
Kalahandi,March,2240,7864,19653,27517
Kandhamal,March,2310,6808,17582,24390
Kendrapada,March,18,140,9889,10029
Keonjhar,March,1358,11258,22849,34107
Khurda,March,119,2700,10272,12972
Koraput,March,2718,6230,11895,18125
Malkangiri,March,1937,4882,10242,15124
Mayurbhanj,March,835,16690,22969,39659
Nawarangpur,March,1714,2122,4113,6235
Nayagarh,March,223,2606,6130,8736
Nuapada,March,3285,2845,4403,7248
Puri,March,2,0,6277,6277
Rayagada,March,3669,12122,17477,29599
Sambalpur,March,552,3031,6982,10013
Sonepur,March,48,100,4155,4255
Sundargarh,March,1003,12434,22200,34634
Angul,April,897,6080,14525,20605
Balasore,April,96,,9785,9785
Bargarh,April,54,3436,8408,11844
Bhadrak,April,44,2096,6416,8512
Bolangir,April,369,4175,9769,13944
Boudh,April,104,970,1512,2482
Cuttack,April,77,2271,14488,16759
Deogarh,April,243,3558,4656,8214
Dhenkanal,April,328,3360,11673,15033
Gajpati,April,1016,3608,5728,9336
Ganjam,April,947,15158,25726,40884
J.S PUR,April,12,237,6906,7143
Jajpur,April,191,2875,11144,14019
Jharsuguda,April,18,1751,2330,4081
Kalahandi,April,1416,6755,15188,21943
Kandhamal,April,2004,6429,17186,23615
Kendrapada,April,20,31,9359,9390
Keonjhar,April,1325,10548,19996,30544
Khurda,April,186,2471,9843,12314
Koraput,April,2525,5639,10075,15714
Malkangiri,April,1298,3611,9686,13297
Mayurbhanj,April,1112,19507,26077,45584
Nawarangpur,April,5566,4362,7632,11994
Nayagarh,April,203,2295,5352,7647
Nuapada,April,599,3697,4965,8662
Puri,April,5,0,4545,4545
Rayagada,April,3786,11229,16364,27593
Sambalpur,April,523,4201,6785,10986
Sonepur,April,24,10,3651,3661
Sundargarh,April,858,11567,20771,32338
Angul,May,919,5658,14681,20339
Balasore,May,147,,10193,10193
Bargarh,May,48,1784,8017,9801
Bhadrak,May,45,,,0
Bolangir,May,322,4200,9181,13381
Boudh,May,115,1097,1639,2736
Cuttack,May,45,1043,14735,15778
Deogarh,May,298,3217,5292,8509
Dhenkanal,May,319,3477,12017,15494
Gajpati,May,1115,3659,5103,8762
Ganjam,May,947,15158,25726,40884
J.S PUR,May,18,328,7148,7476
Jajpur,May,138,2777,9982,12759
Jharsuguda,May,22,1943,2409,4352
Kalahandi,May,1373,6140,15079,21219
Kandhamal,May,2060,8287,19692,27979
Kendrapada,May,15,61,9052,9113
Keonjhar,May,1476,10281,22788,33069
Khurda,May,345,2374,9090,11464
Koraput,May,2206,7441,9253,16694
Malkangiri,May,1175,4499,8508,13007
Mayurbhanj,May,1489,19365,25457,44822
Nawarangpur,May,1068,,,0
Nayagarh,May,185,3251,6137,9388
Nuapada,May,737,3943,5385,9328
Puri,May,4,0,5114,5114
Rayagada,May,4276,12506,17084,29590
Sambalpur,May,497,4326,6826,11152
Sonepur,May,24,,,0
Sundargarh,May,535,7676,14742,22418
Angul,June,651,6438,14070,20508
Balasore,June,124,3041,9396,12437
Bargarh,June,39,2397,10314,12711
Bhadrak,June,50,2322,8864,11186
Bolangir,June,389,6359,12677,19036
Boudh,June,143,1383,1592,2975
Cuttack,June,65,4342,15077,19419
Deogarh,June,397,4141,5374,9515
Dhenkanal,June,297,4189,11671,15860
Gajpati,June,1131,4212,6900,11112
Ganjam,June,1050,15664,27310,42974
J.S PUR,June,25,895,7633,8528
Jajpur,June,195,2738,10466,13204
Jharsuguda,June,9,1900,2409,4309
Kalahandi,June,1217,6530,15416,21946
Kandhamal,June,2322,10575,18052,28627
Kendrapada,June,22,585,10044,10629
Keonjhar,June,1337,8582,20196,28778
Khurda,June,280,1817,9226,11043
Koraput,June,3650,9709,12662,22371
Malkangiri,June,1147,4089,9444,13533
Mayurbhanj,June,1566,20555,27902,48457
Nawarangpur,June,1079,7844,12572,20416
Nayagarh,June,149,3547,5063,8610
Nuapada,June,592,3927,5363,9290
Puri,June,1,0,5497,5497
Rayagada,June,5267,15074,18386,33460
Sambalpur,June,399,3461,6254,9715
Sonepur,June,73,659,3998,4657
Sundargarh,June,665,11353,20973,32326
Angul,July,878,8035,19415,27450
Balasore,July,141,5547,15940,21487
Bargarh,July,114,3915,11382,15297
Bhadrak,July,113,3096,12446,15542
Bolangir,July,612,6995,16974,23969
Boudh,July,209,2173,2714,4887
Cuttack,July,70,3498,19821,23319
Deogarh,July,593,5073,7016,12089
Dhenkanal,July,434,7487,17165,24652
Gajpati,July,1966,5726,9219,14945
Ganjam,July,1329,19120,32905,52025
J.S PUR,July,19,1028,10715,11743
Jajpur,July,235,4232,15964,20196
Jharsuguda,July,52,2898,3895,6793
Kalahandi,July,1914,9571,21186,30757
Kandhamal,July,3084,14593,23436,38029
Kendrapada,July,25,544,12467,13011
Keonjhar,July,2162,12972,30023,42995
Khurda,July,429,3133,14052,17185
Koraput,July,4645,12106,14209,26315
Malkangiri,July,2147,9126,12402,21528
Mayurbhanj,July,1741,26335,35581,61916
Nawarangpur,July,2081,11793,19161,30954
Nayagarh,July,185,5137,7658,12795
Nuapada,July,972,4349,5961,10310
Puri,July,5,0,5918,5918
Rayagada,July,6979,16705,28495,45200
Sambalpur,July,616,4873,8199,13072
Sonepur,July,171,47,4621,4668
Sundargarh,July,1421,19143,31098,50241
Angul,August,1253,9441,24014,33455
Balasore,August,76,4605,14721,19326
Bargarh,August,332,10736,19027,29763
Bhadrak,August,116,3281,13792,17073
Bolangir,August,951,10666,25139,35805
Boudh,August,299,2597,3943,6540
Cuttack,August,55,1900,17176,19076
Deogarh,August,836,5911,7333,13244
Dhenkanal,August,418,7836,17466,25302
Gajpati,August,1048,4663,7826,12489
Ganjam,August,1251,19841,34002,53843
J.S PUR,August,19,579,9413,9992
Jajpur,August,215,4691,17134,21825
Jharsuguda,August,64,3313,4851,8164
Kalahandi,August,2267,10828,22574,33402
Kandhamal,August,3026,15042,25673,40715
Kendrapada,August,20,36,13581,13617
Keonjhar,August,2336,15288,35228,50516
Khurda,August,375,3582,14383,17965
Koraput,August,4940,16353,13617,29970
Malkangiri,August,2060,7861,13286,21147
Mayurbhanj,August,1135,20872,30467,51339
Nawarangpur,August,2329,16072,23489,39561
Nayagarh,August,142,3936,6005,9941
Nuapada,August,1009,5143,7546,12689
Puri,August,0,0,7196,7196
Rayagada,August,7329,20266,28629,48895
Sambalpur,August,832,7909,12383,20292
Sonepur,August,305,171,9747,9918
Sundargarh,August,1465,14500,32118,46618
Angul,September,843,8345,17461,25806
Balasore,September,73,5087,13664,18751
Bargarh,September,177,10306,18136,28442
Bhadrak,September,72,1946,12422,14368
Bolangir,September,725,8205,21781,29986
Boudh,September,207,2047,2916,4963
Cuttack,September,54,1938,16902,18840
Deogarh,September,573,5029,6574,11603
Dhenkanal,September,336,7228,17404,24632
Gajpati,September,930,4588,7555,12143
Ganjam,September,735,15771,29935,45706
J.S PUR,September,12,830,9064,9894
Jajpur,September,199,4549,14940,19489
Jharsuguda,September,55,3351,4686,8037
Kalahandi,September,2070,10478,24476,34954
Kandhamal,September,2671,13454,20544,33998
Kendrapada,September,21,27,11174,11201
Keonjhar,September,1768,13801,31361,45162
Khurda,September,224,1728,12906,14634
Koraput,September,3730,15178,12221,27399
Malkangiri,September,1660,7122,11338,18460
Mayurbhanj,September,798,19894,27690,47584
Nawarangpur,September,1732,14399,20659,35058
Nayagarh,September,152,3561,8348,11909
Nuapada,September,1013,4872,7741,12613
Puri,September,6,0,6272,6272
Rayagada,September,5596,16916,23541,40457
Sambalpur,September,663,5998,10128,16126
Sonepur,September,76,60,5381,5441
Sundargarh,September,993,8562,29707,38269
Angul,October,729,6333,16873,23206
Balasore,October,50,5771,13615,19386
Bargarh,October,100,7330,16294,23624
Bhadrak,October,43,3335,15014,18349
Bolangir,October,676,5091,21732,26823
Boudh,October,165,1746,2504,4250
Cuttack,October,47,433,16012,16445
Deogarh,October,487,4866,6045,10911
Dhenkanal,October,214,5354,14500,19854
Gajpati,October,695,4220,6285,10505
Ganjam,October,588,12006,27516,39522
J.S PUR,October,14,792,8265,9057
Jajpur,October,173,4091,15218,19309
Jharsuguda,October,25,2384,3495,5879
Kalahandi,October,1836,9498,22676,32174
Kandhamal,October,1919,8391,18755,27146
Kendrapada,October,16,33,10760,10793
Keonjhar,October,1576,11058,26516,37574
Khurda,October,167,2164,11268,13432
Koraput,October,2286,10161,8669,18830
Malkangiri,October,1665,5450,10562,16012
Mayurbhanj,October,618,16565,24063,40628
Nawarangpur,October,1217,9198,12931,22129
Nayagarh,October,97,2759,5366,8125
Nuapada,October,840,3995,5727,9722
Puri,October,3,0,6764,6764
Rayagada,October,4125,12693,19513,32206
Sambalpur,October,693,5954,9905,15859
Sonepur,October,62,1031,5524,6555
Sundargarh,October,890,6248,33157,39405
Angul,November,680,6222,16324,23206
Balasore,November,45,6509,14673,19386
Bargarh,November,115,7769,15627,23624
Bhadrak,November,96,1953,14562,18349
Bolangir,November,704,2071,17311,26823
Boudh,November,197,1699,2368,4250
Cuttack,November,48,700,15878,16445
Deogarh,November,623,4441,5390,10911
Dhenkanal,November,163,4741,14045,19854
Gajpati,November,777,3125,5709,10505
Ganjam,November,616,7919,26082,39522
J.S PUR,November,12,1228,8907,9057
Jajpur,November,199,2753,14589,19309
Jharsuguda,November,25,2082,2884,5879
Kalahandi,November,1554,6478,22641,32174
Kandhamal,November,1474,5826,15092,27146
Kendrapada,November,13,24,9664,10793
Keonjhar,November,1841,10286,25416,37574
Khurda,November,121,1835,10715,13432
Koraput,November,1719,5835,6410,18830
Malkangiri,November,2695,5027,11355,16012
Mayurbhanj,November,601,12886,21629,40628
Nawarangpur,November,1304,7261,11905,22129
Nayagarh,November,109,2724,6133,8125
Nuapada,November,1160,4846,7047,9722
Puri,November,5,0,6343,6764
Rayagada,November,4900,13474,21675,32206
Sambalpur,November,855,6823,9206,15859
Sonepur,November,88,140,5164,6555
Sundargarh,November,1107,6990,27702,39405
Angul,December,607,2975,15202,18177
Balasore,December,57,6193,16132,22325
Bargarh,December,55,5030,12121,17151
Bhadrak,December,54,611,11212,11823
Bolangir,December,513,1278,16299,17577
Boudh,December,76,1430,2034,3464
Cuttack,December,47,756,14880,15636
Deogarh,December,592,3993,5333,9326
Dhenkanal,December,234,3593,15677,19270
Gajpati,December,405,2219,4508,6727
Ganjam,December,799,9478,34310,43788
J.S PUR,December,8,1618,9160,10778
Jajpur,December,151,3273,14312,17585
Jharsuguda,December,40,2158,3115,5273
Kalahandi,December,1435,5569,19780,25349
Kandhamal,December,1047,3632,12999,16631
Kendrapada,December,11,81,9877,9958
Keonjhar,December,2281,10265,25150,35415
Khurda,December,122,1589,10385,11974
Koraput,December,1461,5267,7590,12857
Malkangiri,December,1430,3885,9148,13033
Mayurbhanj,December,855,10270,20128,30398
Nawarangpur,December,939,3496,8292,11788
Nayagarh,December,89,2365,5259,7624
Nuapada,December,778,2133,6282,8415
Puri,December,2,0,5912,5912
Rayagada,December,3772,9622,19634,29256
Sambalpur,December,903,6148,7541,13689
Sonepur,December,82,447,4227,4674
Sundargarh,December,930,4249,23599,27848
